,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Italy,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,2.6,2.6,2.6,2.7,2.6,2.5,2.5
Mexico,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,"1,986.8","1,930.1","2,019.3","2,128.7","2,202.3","2,252.2","2,292.9"
New Zealand,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,25.7,24.3,23.5,23.8,27.2,25.8,24.6
Portugal,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,9.9,9.0,8.6,9.5,10.1,9.4,9.0
Singapore,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.0,0.1,0.1,0.1
Turkey,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,55.6,56.6,57.4,53.8,58.1,56.8,56.0
USA,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,2.3,2.1,2.0,2.1,2.1,2.2,2.3
USA,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,47.2,46.7,46.9,51.3,53.1,57.3,63.1
United Arab Emirates,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,4.8,5.1,5.4,5.7,6.1,6.1,6.3
Vietnam,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,3.0,3.1,3.2,3.3,3.3,3.5,3.6
Turkey,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thailand,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,30.0,31.8,33.4,34.1,33.8,35.6,36.8
Peru,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,77.9,79.4,82.9,82.8,79.1,89.0,97.3
Saudi Arabia,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,3.3,3.6,4.1,3.2,3.0,2.9,2.9
Philippines,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,"2,423.3","1,183.7",835.6,803.0,801.1,807.6,830.9
Norway,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mexico,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,4.6,4.4,4.5,4.7,4.7,4.6,4.5
South Korea,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,4.0,4.7,4.9,5.0,6.6,6.6,6.3
Italy,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,31.1,32.3,33.3,33.7,33.6,32.6,32.5
India,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.4,0.4,0.4,0.4,0.5,0.6,0.7
Indonesia,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,868.5,846.9,804.1,750.5,792.6,823.4,853.7
Finland,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,398.2,373.7,357.8,376.2,370.5,344.6,328.0
China,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,97.0,86.4,72.2,56.4,42.9,30.6,21.5
Brazil,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,"5,678.4","5,642.9","5,577.2","5,725.7","5,859.6","5,988.2","5,886.0"
Switzerland,Soft Drinks Packaging,Total,Flexible Aluminium/Plastic,Retail/off-trade Unit Volume,million units,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Italy,Soft Drinks Packaging,Total,Flexible Paper/Plastic,Retail/off-trade Unit Volume,million units,3.7,3.8,3.8,3.9,3.8,4.1,4.3
Japan,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,47.2,49.0,46.3,40.2,41.2,43.8,44.4
Mexico,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,50.0,49.0,49.6,51.9,49.2,46.6,45.6
Malaysia,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Indonesia,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,132.1,121.1,125.5,116.3,110.6,113.7,116.8
India,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,657.1,719.7,769.1,760.6,846.2,872.0,916.0
Ireland,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.2,0.3,0.3,0.3,0.4,0.4,0.4
France,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,-,-,-,-,-,-,-
United Kingdom,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,2.2,2.3,2.6,2.6,2.8,2.8,2.8
Canada,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,276.5,262.7,246.4,235.1,224.5,222.0,213.7
Brazil,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,20.0,19.5,18.0,14.7,14.1,14.0,13.3
Austria,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Germany,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,8.2,8.0,7.8,7.6,7.4,7.2,7.0
Denmark,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.3,0.2,0.2,0.3,0.3,0.3,0.3
Peru,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Thailand,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,30.0,31.8,33.4,34.1,33.8,35.6,36.8
Sweden,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Vietnam,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Venezuela,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,12.5,10.2,5.3,3.6,3.3,3.4,3.3
Taiwan,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,0.4,0.4,0.4,0.4,0.4,0.4,0.4
USA,Soft Drinks Packaging,Total,Flexible Plastic,Retail/off-trade Unit Volume,million units,1.4,1.3,1.2,1.2,1.2,1.2,1.1
USA,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,"4,672.6","4,599.6","4,451.6","4,695.3","4,621.9","4,553.3","4,527.1"
Venezuela,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Taiwan,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,4.1,4.0,4.2,4.3,4.1,4.1,4.1
United Arab Emirates,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,102.9,103.3,108.2,99.7,106.6,102.6,103.0
Sweden,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,4.3,5.9,5.6,5.4,5.3,5.4,5.3
Singapore,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,2.6,1.9,1.6,1.4,1.3,1.5,1.5
Thailand,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,32.7,31.0,20.2,19.7,18.7,30.7,37.7
Turkey,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,50.6,52.7,55.8,54.3,53.5,95.4,118.7
Saudi Arabia,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,61.7,58.8,56.9,52.0,53.3,55.8,59.9
Philippines,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,764.3,725.8,676.4,603.8,572.0,571.0,587.2
